Data,TMAX,TMIN,ETP-Pmoith
1/1/2000,22.4,17.4,3.32505423005314
2/1/2000,24.1,15.7,3.32488283827067
3/1/2000,21.2,15.8,3.09076684057773
4/1/2000,26.2,17.8,3.67520752004342
5/1/2000,24.2,17.4,3.4744046022733
6/1/2000,26.2,15.8,3.50741526018492
7/1/2000,27.4,15.6,3.59045843224783
8/1/2000,27.6,15.4,3.58992938576244
9/1/2000,26.8,16.6,3.6227249282793
10/1/2000,25.8,15.2,3.42176007854888
11/1/2000,27.8,15.2,3.58794528496926
12/1/2000,28.8,15.8,3.72061857939864
13/1/2000,28.8,15.5,3.69468918894585
14/1/2000,30.6,15.1,3.81043799512214
15/1/2000,30.2,15.1,3.77599749292398
16/1/2000,31.6,16.6,4.01647676194523
17/1/2000,25.2,16,3.43201936093895
18/1/2000,30.4,17.6,3.99702846566614
19/1/2000,30.8,16.5,3.93721794209873
20/1/2000,26.3,17.4,3.63605545311348
21/1/2000,26.2,17.3,3.61782126755354
22/1/2000,28.5,18.6,3.91539148649105
23/1/2000,26.2,17.6,3.63925151271335
24/1/2000,27,18.7,3.79511262300319
25/1/2000,27.4,16.6,3.65189322500662
26/1/2000,26.3,18.5,3.71609095870722
27/1/2000,25.8,17.7,3.60600301851316
28/1/2000,28.8,16.4,3.7444576907043
29/1/2000,29.6,14.6,3.65907370406097
30/1/2000,28.3,16.4,3.69776332453482
31/1/2000,26.2,18.3,3.67839339794316
1/2/2000,26.8,15.9,3.52676127173053
2/2/2000,27.8,17.4,3.73009307505615
3/2/2000,26.7,16.7,3.57838120630882
4/2/2000,28.4,16.2,3.67391872847732
5/2/2000,27.2,17.8,3.70328179449201
6/2/2000,28,17.8,3.76530892957804
7/2/2000,26.2,18.4,3.66278814069119
8/2/2000,25.4,18.4,3.59313354938698
9/2/2000,27.3,16.6,3.5972131740424
10/2/2000,25.6,17.6,3.53563566348375
11/2/2000,26.4,17.4,3.58029884015601
12/2/2000,26.8,17.2,3.5920152292529
13/2/2000,25.9,17.1,3.50568436652936
14/2/2000,28,15,3.50082049162684
15/2/2000,28.4,14.8,3.51204416708559
16/2/2000,28.8,14,3.47433969582126
17/2/2000,28.9,13.8,3.46087394184276
18/2/2000,27,16,3.47962574407177
19/2/2000,26.8,16.2,3.47388282657883
20/2/2000,27,16.6,3.5163490391936
21/2/2000,27.3,17.6,3.61481818492504
22/2/2000,27.6,14.2,3.35912833491856
23/2/2000,28.6,14.5,3.45710905719098
24/2/2000,29,14.4,3.47445008611294
25/2/2000,29.7,15,3.57140588543699
